"Varianten-ID","Name 1","Produkttyp","Farbe","Kompatibel zu","Variantenbeschreibung","Enthält","Kapazität","Patronen Nr"
2369,"Kompatibel Tintenpatrone Canon CLI-526GY grau grey inkl. Chip","Tintenpatrone","Grey","Canon Pixma IP4850<br>Canon Pixma IP4950<br>Canon Pixma IX6550<br>Canon Pixma MG5140<br>Canon Pixma MG5150<br>Canon Pixma MG5240<br>Canon Pixma MG5250<br>Canon Pixma MG5300 Series<br>Canon Pixma MG5340<br>Canon Pixma MG5350<br>Canon Pixma MG6150<br>Canon Pixma MG6200 Series<br>Canon Pixma MG6250<br>Canon Pixma MG8150<br>Canon Pixma MG8200 Series<br>Canon Pixma MG8240<br>Canon Pixma MG8250<br>Canon Pixma MX710 Series<br>Canon Pixma MX715<br>Canon Pixma MX885<br>Canon Pixma MX890 Series<br>Canon Pixma MX895",,,"11 ml","PGI-525 CLI-526"
2372,"Kompatibel Brother LC-1100C LC-990C LC-980C kompatible Druckerpatrone cyan","Tintenpatrone","Cyan","Brother DCP-145C<br>Brother DCP-160 Series<br>Brother DCP-163C<br>Brother DCP-165C<br>Brother DCP-167C<br>Brother DCP-185C<br>Brother DCP-190 Series<br>Brother DCP-195C<br>Brother DCP-197C<br>Brother DCP-365CN<br>Brother DCP-370 Series<br>Brother DCP-373CW<br>Brother DCP-375CW<br>Brother DCP-377CW<br>Brother DCP-380 Series<br>Brother DCP-383C<br>Brother DCP-385C<br>Brother DCP-387C<br>Brother DCP-395CN<br>Brother DCP-585CW<br>Brother DCP-6690CW<br>Brother DCP-J 125<br>Brother DCP-J 715W<br>Brother MFC-250C<br>Brother MFC-250 Series<br>Brother MFC-255CW<br>Brother MFC-290C<br>Brother MFC-290 Series<br>Brother MFC-295CN<br>Brother MFC-297C<br>Brother MFC-490CN<br>Brother MFC-490CW<br>Brother MFC-490 Series<br>Brother MFC-790CW<br>Brother MFC-790 Series<br>Brother MFC-795CW<br>Brother MFC-990CW<br>Brother MFC-5490CN<br>Brother MFC-5890CN<br>Brother MFC-5895CW<br>Brother MFC-6490CW<br>Brother MFC-6690CW<br>Brother MFC-6890CDW<br>Brother MFC-6890CW<br>Brother MFC-990CW<br>Brother MFC-J 410W<br>Brother MFC-J 615W",,,"1x 12 ml","LC-980,LC-990,LC-1100"
2373,"Kompatibel Brother LC-1100M LC-990M LC-980M kompatible Druckerpatrone magenta","Tintenpatrone","Magenta","Brother DCP-145C<br>Brother DCP-160 Series<br>Brother DCP-163C<br>Brother DCP-165C<br>Brother DCP-167C<br>Brother DCP-185C<br>Brother DCP-190 Series<br>Brother DCP-195C<br>Brother DCP-197C<br>Brother DCP-365CN<br>Brother DCP-370 Series<br>Brother DCP-373CW<br>Brother DCP-375CW<br>Brother DCP-377CW<br>Brother DCP-380 Series<br>Brother DCP-383C<br>Brother DCP-385C<br>Brother DCP-387C<br>Brother DCP-395CN<br>Brother DCP-585CW<br>Brother DCP-6690CW<br>Brother DCP-J 125<br>Brother DCP-J 715W<br>Brother MFC-250C<br>Brother MFC-250 Series<br>Brother MFC-255CW<br>Brother MFC-290C<br>Brother MFC-290 Series<br>Brother MFC-295CN<br>Brother MFC-297C<br>Brother MFC-490CN<br>Brother MFC-490CW<br>Brother MFC-490 Series<br>Brother MFC-790CW<br>Brother MFC-790 Series<br>Brother MFC-795CW<br>Brother MFC-990CW<br>Brother MFC-5490CN<br>Brother MFC-5890CN<br>Brother MFC-5895CW<br>Brother MFC-6490CW<br>Brother MFC-6690CW<br>Brother MFC-6890CDW<br>Brother MFC-6890CW<br>Brother MFC-990CW<br>Brother MFC-J 410W<br>Brother MFC-J 615W",,,"1x 12ml","LC-980,LC-990,LC-1100"
2374,"Kompatibel Brother LC-1100Y LC-990Y LC-980Y kompatible Druckerpatrone yellow","Tintenpatrone","Yellow","Brother DCP-145C<br>Brother DCP-160 Series<br>Brother DCP-163C<br>Brother DCP-165C<br>Brother DCP-167C<br>Brother DCP-185C<br>Brother DCP-190 Series<br>Brother DCP-195C<br>Brother DCP-197C<br>Brother DCP-365CN<br>Brother DCP-370 Series<br>Brother DCP-373CW<br>Brother DCP-375CW<br>Brother DCP-377CW<br>Brother DCP-380 Series<br>Brother DCP-383C<br>Brother DCP-385C<br>Brother DCP-387C<br>Brother DCP-395CN<br>Brother DCP-585CW<br>Brother DCP-6690CW<br>Brother DCP-J 125<br>Brother DCP-J 715W<br>Brother MFC-250C<br>Brother MFC-250 Series<br>Brother MFC-255CW<br>Brother MFC-290C<br>Brother MFC-290 Series<br>Brother MFC-295CN<br>Brother MFC-297C<br>Brother MFC-490CN<br>Brother MFC-490CW<br>Brother MFC-490 Series<br>Brother MFC-790CW<br>Brother MFC-790 Series<br>Brother MFC-795CW<br>Brother MFC-990CW<br>Brother MFC-5490CN<br>Brother MFC-5890CN<br>Brother MFC-5895CW<br>Brother MFC-6490CW<br>Brother MFC-6690CW<br>Brother MFC-6890CDW<br>Brother MFC-6890CW<br>Brother MFC-990CW<br>Brother MFC-J 410W<br>Brother MFC-J 615W",,,"1x 12ml",
2383,"Kompatibel CANON cl-51 cl-41 Tintenpatronen","Tintenpatrone","Cyan, Magenta, Yelllow, Black","Canon IP-1200<br>Canon IP-1300<br>Canon IP-1600<br>Canon IP-1700<br>Canon IP-1800<br>Canon IP-2200<br>Canon IP-2500<br>Canon IP-2600<br>Canon IP-6210D<br>Canon IP-6220D<br>Canon IP-6310D<br>Canon MP-140<br>Canon MP-150<br>Canon MP-160<br>Canon MP-170<br>Canon MP-180<br>Canon MP-190<br>Canon MP-210<br>Canon MP-220<br>Canon MP-450<br>Canon MP-450X<br>Canon MP-460<br>Canon MP-470<br>Canon MX-300<br>Canon MX-310<br>Canon JX-200<br>Canon JX-500",,,"1x 24 ml","CL-41, CL-51"
2402,"Kompatibel Ersatzpatronen Lexmark 17 10N0217E XL schwarz","Tintenpatrone","Black","Lexmark I 3<br>
Lexmark X 1100 Series<br>
Lexmark X 1110<br>
Lexmark X 1130<br>
Lexmark X 1140<br>
Lexmark X 1150<br>
Lexmark X 1155<br>
Lexmark X 1160<br>
Lexmark X 1170<br>
Lexmark X 1180<br>
Lexmark X 1185<br>
Lexmark X 1190<br>
Lexmark X 1195<br>
Lexmark X 1196<br>
Lexmark X 1200 Series<br>
Lexmark X 1240<br>
Lexmark X 1250<br>
Lexmark X 1270<br>
Lexmark X 1280<br>
Lexmark X 1290<br>
Lexmark X 2200 Series<br>
Lexmark X 2225<br>
Lexmark X 2230<br>
Lexmark X 2250<br>
Lexmark X 72<br>
Lexmark X 74<br>
Lexmark X 75 M<br>
Lexmark X 75 PrintTrio<br>
Lexmark Z 13<br>
Lexmark Z 23<br>
Lexmark Z 23 E<br>
Lexmark Z 24<br>
Lexmark Z 25<br>
Lexmark Z 25 L<br>
Lexmark Z 33<br>
Lexmark Z 34<br>
Lexmark Z 35<br>
Lexmark Z 503<br>
Lexmark Z 510<br>
Lexmark Z 510 Series<br>
Lexmark Z 511<br>
Lexmark Z 512<br>
Lexmark Z 514<br>
Lexmark Z 515<br>
Lexmark Z 516<br>
Lexmark Z 517<br>
Lexmark Z 520<br>
Lexmark Z 600 Series<br>
Lexmark Z 601<br>
Lexmark Z 602<br>
Lexmark Z 603<br>
Lexmark Z 605<br>
Lexmark Z 610 Series<br>
Lexmark Z 611<br>
Lexmark Z 612<br>
Lexmark Z 614<br>
Lexmark Z 615<br>
Lexmark Z 617<br>
Lexmark Z 640<br>
Lexmark Z 640 Series<br>
Lexmark Z 645<br>
Lexmark Z 717<br>
Compaq IJ 650<br>
Hitachi Priusjet",,,"1x 14 ml",
2403,"Kompatibel Ersatzpatronen Lexmark 26 L-26 L-27 und 27 D 10NX217E 10NX227E black","Tintenpatrone","Black","Lexmark X1100
Lexmark X1110
Lexmark X1130
Lexmark X1140
Lexmark X1150
Lexmark X1155
Lexmark X1160
Lexmark X1170
Lexmark X1180
Lexmark X1185
Lexmark X1190
Lexmark X1250
Lexmark X1270
Lexmark X2230
Lexmark X2240
Lexmark X2250
Lexmark X2330
Lexmark X72
Lexmark X74
Lexmark X75
Lexmark X75M
Lexmark Z13
Lexmark Z23
Lexmark Z23e
Lexmark Z24
Lexmark Z25
Lexmark Z25L
Lexmark Z33
Lexmark Z34    
Lexmark Z35
Lexmark Z515
Lexmark Z517
Lexmark Z601
Lexmark Z602
Lexmark Z603
Lexmark Z604
Lexmark Z605
Lexmark Z611
Lexmark Z612
Lexmark Z614
Lexmark Z615
Lexmark Z640
Lexmark Z645",,,"1x 22 ml",
4113,"Kompatibel HP 121A C9704A Belichtungstrommel","Bildtrommel","Cyan, Magenta, Yelllow, Black","Canon LBP-2410<br>Canon LBP-87<br>HP Color LaserJet 1500<br>HP Color LaserJet 1500L<br>HP Color LaserJet 1500Lxi<br>HP Color LaserJet 1500n<br>HP Color LaserJet 1500 Series<br>HP Color LaserJet 1500Tn<br>HP Color LaserJet 2500<br>HP Color LaserJet 2500L<br>HP Color LaserJet 2500Ln<br>HP Color LaserJet 2500Lse<br>HP Color LaserJet 2500n<br>HP Color LaserJet 2500Tn",,,"1x 20000 Seiten","121A C9700A C9701A C9702A C9703A"
4124,"Kompatibel Samsung CLT-P4072C/ELS Toner","Toner","Cyan, Magenta, Yelllow, Black","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"1x 2500 Seiten / 3x 2000 Seiten","CLT-P4072C"
4893,"4 XXL Toner kompatibel für Brother TN 04 - SET","Toner","Cyan, Magenta, Yelllow, Black","Brother HL-2700 C
Brother HL-2700 CN
Brother HL-2700 CNLT
Brother HL-2700 Series
Brother MFC-9420 CN
Brother MFC-9420 CNLT",,,"1x 10000 Seiten / 3x 6600 Seiten",
